review_comment_message,texto_limpo,emocao_scores,nivel_satisfacao
"Ao instalar o cartucho a impressora apresentou a seguinte mensagem: ""Não há mais tinta original no cartucho.""
Ficou a dúvida se o cartucho é original.",instalar cartucho impressor apresentar seguinte mensagem tinta original cartucho ficar dúvida cartucho original,"[('neutral', 0.8322692513465881)]",3.0
ok nota 10,ok nota,"[('neutral', 0.5199476480484009)]",3.0
Atendeu as minhas expectativas. ,atender expectativa,"[('neutral', 0.7119318842887878)]",3.0
Ótimo serviço,bom serviço,"[('admiration', 0.7848769426345825)]",3.0
Chegou antes do prazo marcado.,chegar antes prazo marcar,"[('neutral', 0.8177805542945862)]",3.0
Coisa simples + mto lindu... Preço bom tdo maravilhoso.. principalmente as lojas lannister por sua capacidade de responsabilidade na entrega antes do prazo.... Parabéns lojas lannister,coisa simples mto lindu preço bom tdo maravilhoso principalmente loja lannister capacidade responsabilidade entregar antes prazo parabéns loja lannister,"[('admiration', 0.8246875405311584)]",3.0
O produto é muito bom.,produto bom,"[('admiration', 0.7403237223625183)]",3.0
comprei 2 pulseiras mas chego apenas uma esto aguardando a outro diferença grande entre as entregas pensei que seria entrega as 2 juntas.,comprar pulseira chegar apenas esto aguardar outro diferença grande entrega pensar entregar juntar,"[('neutral', 0.8112095594406128)]",3.0
"pedi o cancelamento da compra,após informada que não havia deste produto no estoque.",pedir cancelamento compraapós informar haver de este produto estoque,"[('neutral', 0.8226266503334045)]",3.0
"A bolsa é linda, espaçosa, show de bola!!! Adorei",bolso lindar espaçoso show bola ador,"[('admiration', 0.6526880860328674)]",3.0
não recebi,recebi,"[('neutral', 0.8067436814308167)]",3.0
Muito doa e rápida na entrega eu recomendo há todos,doa rápido entregar recomer todo,"[('neutral', 0.7553895115852356)]",3.0
Bom Gostei rapido a entrega,bom gostar rapir entregar,"[('admiration', 0.4441218972206116)]",3.0
Entrega feira antes do prazo. Maravilha!!!!,entregar feira antes prazo maravilhar,"[('neutral', 0.7539472579956055)]",3.0
Bom,bom,"[('admiration', 0.7624117732048035)]",3.0
"Até momento, não recebi informações de produto.
",momento recebi informação produto,"[('neutral', 0.8160569667816162)]",3.0
nao posso avaliar nada ate hj na recebi nada,nao poder avaliar nada ate elhj recebi nada,"[('neutral', 0.6152487397193909)]",3.0
Muito bom,bom,"[('admiration', 0.7624117732048035)]",3.0
Gostaria de saber por que o meu produto consta como entregue no dia 06/08 ?,gostar saber produto constar entregar dia,"[('neutral', 0.6036149859428406)]",3.0
"Não recebi o produto e solicitei entrega em outro endereço, até agora o vendedor não entrou em contato comigo. 48 98463-8827.",recebi produto soliciteir entregar outro endereço agora vendedor entrar contato comigo,"[('neutral', 0.7962859272956848)]",3.0
"Estou esperando há quase um mês, uma falta de respeito ao consumidor",esperar quase mês faltar respeito consumidor,"[('neutral', 0.3888193666934967)]",3.0
Tive um problema na entrega em que o correio colocou no site como entregue dia 19/02 mais nao tinha entregue tentei contato com lannister e a loja em questao e impossivel por fone nem resposta tive,problema entregar correio colocar site entregar dia nao entregar tentar contato lannister lojo questao impossivel fone resposta,"[('neutral', 0.7496646642684937)]",3.0
"O produto chegou antes do prazo, muito rapido, e sao de otima qualidade, gostei muito! ",produto chegar antes prazo raper sao otimo qualidade gostar,"[('admiration', 0.7786078453063965)]",3.0
Chegou antes da data prevista....está d parabéns...minha filha amou o presente :),chegar antes data previstaestár d parabénsminha filha amar presente,"[('love', 0.7450693845748901)]",5.0
O produto veio com defeito enviei email e nao obtive resposta,produto vir defeito Enviei email nao obtive resposta,"[('neutral', 0.7037420272827148)]",3.0
Muito bom,bom,"[('admiration', 0.7624117732048035)]",3.0
Produto que foi entregue não confere com o pedido da minha compra.,produto entregar conferir pedir compra,"[('neutral', 0.8152099847793579)]",3.0
E uma ótima plataforma de compra,ótimo plataforma comprar,"[('admiration', 0.8225367069244385)]",3.0
"Ainda não utilizei o produto então não posso opinar sobre o mesmo. Contudo recomendo a loja, recebi o produto de forma extremamente rápida.",ainda utilizei produto então poder opinar sobre contudo recomendo loja recebi produto forma extremamente rápido,"[('neutral', 0.36065810918807983)]",3.0
Ainda falta a capa,ainda faltar capar,"[('neutral', 0.8057445287704468)]",3.0
O produto não foi entregue!,produto entregar,"[('neutral', 0.7952436208724976)]",3.0
"Ótimo produto, eu recomendo! ",bom produto recomendar,"[('admiration', 0.7787601947784424)]",3.0
EXCELENTE,excelente,"[('admiration', 0.7915756106376648)]",3.0
"O produto é ótimo, o esperado. A loja super rápida sem enrolação para entregar. Gostei.",produto bom esperar loja super rápido enrolação entregar gostar,"[('admiration', 0.5282566547393799)]",3.0
Tudo certo!,tudo certo,"[('neutral', 0.33277231454849243)]",3.0
"Eu pedi o cancelamento desse produto antes de lançarem a nota fiscal, vocês deram continuidade no procedimento e entregaram o produto que infelizmente meu zelador recebeu, mesmo tendo sido orientado",pedir cancelamento de esse produto antes lançar nota fiscal dar continuidade procedimento entregar produto infelizmente zelador receber ter ser orientar,"[('neutral', 0.7617630362510681)]",3.0
Só não coerente o valor do frete.,coerente valor frete,"[('neutral', 0.7290952205657959)]",3.0
bom produto,bom produto,"[('admiration', 0.7928832173347473)]",3.0
Consta na NF 2 itens orem apenas 1 foi entregue. Ja solicitei informaçao sobre o item faltante.,constar nf item or apenas entregar ja solicitar informaçao sobre item faltante,"[('neutral', 0.8229053020477295)]",3.0
"Atendimento rápido, cortina com cheiro forte.",atendimento rápido cortinar cheiro forte,"[('neutral', 0.6353469491004944)]",3.0
linda. quentinha,lindo quentinha,"[('admiration', 0.8114410042762756)]",3.0
